Region ,PARTICULARS, JANUARY , FEBRUARY , MARCH , APRIL , MAY , JUNE , JULY , AUGUST , SEPTEMBER , OCTOBER , NOVEMBER , DECEMBER ,,
Region III (Central Luzon),City of Angeles," 1,300.66 ", 842.75 , 764.19 ," 1,630.49 "," 1,757.82 "," 1,079.11 "," 1,516.25 "," 1,602.93 ", 865.85 ," 1,541.34 "," 1,525.91 ", 641.95 ,,
Region III (Central Luzon),City of Olongapo, 290.44 , 192.54 , 177.79 , 436.08 , 261.49 , 300.09 , 374.55 , 286.20 , 212.60 , 383.18 , 330.96 , 339.12 ,,
Region IV-A (CALABARZON),Batangas," 2,437.12 "," 1,238.60 "," 1,448.15 "," 3,009.22 "," 1,855.64 "," 1,572.23 "," 2,365.38 "," 2,140.02 "," 1,620.53 "," 2,743.37 "," 1,938.78 "," 1,464.26 ",,
Region IV-A (CALABARZON),Cavite," 3,794.09 "," 1,599.35 "," 1,636.54 "," 3,911.03 "," 2,308.79 "," 1,838.04 "," 3,211.31 "," 2,466.12 "," 2,072.69 "," 3,567.56 "," 2,479.76 "," 2,041.31 ",,
Region IV-A (CALABARZON),Laguna," 3,550.24 "," 2,036.05 "," 2,013.78 "," 4,916.06 "," 2,834.61 "," 1,906.19 "," 3,956.64 "," 3,076.87 "," 2,328.34 "," 4,176.94 "," 3,197.95 "," 2,370.72 ",,
Region IV-A (CALABARZON),Quezon, 111.01 , 66.21 , 65.61 , 123.13 , 94.65 , 92.84 , 160.53 , 125.78 , 107.17 , 123.37 , 92.33 , 107.74 ,,
Region IV-A (CALABARZON),Rizal, 985.24 , 423.52 , 460.44 ," 1,189.78 ", 600.11 , 460.18 , 999.28 , 672.89 , 518.12 ," 1,097.26 ", 644.74 , 641.82 ,,
Region IV-A (CALABARZON),City of Lucena, 710.19 , 375.93 , 379.35 , 700.31 , 410.75 , 493.25 , 686.48 , 562.81 , 466.37 , 706.66 , 574.26 , 561.20 ,,
MIMAROPA Region,Marinduque, 75.84 , 23.57 , 30.54 , 65.74 , 60.69 , 50.31 , 54.34 , 42.55 , 38.38 , 55.00 , 48.82 , 82.66 ,,
MIMAROPA Region,Occidental Mindoro, 124.34 , 56.16 , 60.01 , 139.36 , 101.50 , 77.24 , 127.86 , 91.29 , 71.59 , 119.03 , 75.66 , 83.84 ,,
MIMAROPA Region,Oriental Mindoro, 295.60 , 128.88 , 147.67 , 373.36 , 266.74 , 199.88 , 314.11 , 199.82 , 167.03 , 292.24 , 208.84 , 171.36 ,,
MIMAROPA Region,Palawan (includes City of Puerto Princesa), 485.02 , 315.49 , 273.70 , 626.14 , 374.94 , 311.25 , 530.32 , 333.96 , 294.62 , 471.40 , 343.94 , 301.74 ,,
MIMAROPA Region,Romblon, 160.79 , 32.86 , 39.71 , 116.82 , 45.54 , 140.57 , 130.52 , 95.46 , 94.74 , 169.51 , 43.02 , 66.29 ,,
Region V (Bicol Region),Albay, 657.59 , 321.38 , 313.35 , 708.54 , 468.78 , 477.65 , 723.41 , 717.83 , 499.95 , 901.93 , 618.87 ," 1,071.28 ",,
Region V (Bicol Region),Camarines Norte, 159.64 , 80.41 , 76.13 , 156.40 , 119.47 , 85.90 , 154.62 , 107.03 , 130.40 , 146.12 , 136.18 , 148.59 ,,
Region V (Bicol Region),Camarines Sur, 828.17 , 270.84 , 408.54 , 826.22 , 437.27 , 478.52 , 660.62 , 516.83 , 514.58 , 649.79 , 498.78 , 439.28 ,,
Region V (Bicol Region),Catanduanes, 113.21 , 40.13 , 67.58 , 114.96 , 73.53 , 58.75 , 114.87 , 80.85 , 74.00 , 109.61 , 73.87 , 80.29 ,,
Region V (Bicol Region),Masbate, 247.21 , 70.52 , 97.55 , 144.96 , 85.38 , 105.30 , 168.40 , 89.26 , 93.20 , 146.27 , 109.84 , 146.60 ,,
Region V (Bicol Region),Sorsogon, 187.12 , 86.23 , 116.97 , 208.24 , 175.22 , 153.35 , 222.24 , 156.52 , 193.06 , 271.06 , 159.48 , 306.47 ,,
Region VI (Western Visayas),Aklan, 295.08 , 114.22 , 120.18 , 308.03 , 205.18 , 184.23 , 295.28 , 214.55 , 209.50 , 301.06 , 189.13 , 231.80 ,,
Region VI (Western Visayas),Antique, 112.11 , 58.56 , 88.09 , 136.54 , 81.91 , 105.18 , 114.23 , 89.24 , 109.18 , 138.58 , 126.03 , 100.36 ,,
Region VI (Western Visayas),Capiz, 218.08 , 93.67 , 112.03 , 227.72 , 142.72 , 143.89 , 203.82 , 124.28 , 169.90 , 183.23 , 138.08 , 167.29 ,,
Region VI (Western Visayas),Iloilo, 193.80 , 103.32 , 126.62 , 242.66 , 141.90 , 200.59 , 227.30 , 160.93 , 144.17 , 208.48 , 127.33 , 187.94 ,,
Region VI (Western Visayas),City of Iloilo (includes the province of Guimaras), 981.39 , 475.95 , 596.62 ," 1,229.23 ", 825.58 , 724.21 ," 1,163.94 ", 814.78 , 709.73 ," 1,200.65 ", 804.12 , 872.93 ,,
Negros Island Region (NIR),Negros Occidental (includes City of Bacolod)," 1,213.06 ", 557.92 , 649.07 ," 1,452.44 ", 882.78 , 748.95 ," 1,205.02 ", 845.31 ," 1,091.09 "," 1,600.55 ", 869.80 , 677.38 ,,
Negros Island Region (NIR),Negros Oriental and Siquijor, 459.76 , 247.18 , 286.21 , 550.22 , 338.36 , 375.00 , 427.95 , 360.81 , 270.31 , 523.68 , 308.24 , 366.46 ,,
Region VII (Central Visayas),Bohol, 367.38 , 219.01 , 209.25 , 419.98 , 347.03 , 318.17 , 506.12 , 360.08 , 360.51 , 563.93 , 419.92 , 359.73 ,,
Region VII (Central Visayas),Cebu (includes Cities of Lapu-Lapu and Mandaue)," 2,339.46 "," 1,164.85 "," 1,202.19 "," 2,737.63 "," 1,686.63 "," 1,442.53 "," 2,357.52 "," 1,728.53 "," 1,402.85 "," 2,389.88 "," 2,000.96 "," 1,467.71 ",,
Region VII (Central Visayas),City of Cebu," 2,585.56 "," 1,024.15 "," 1,272.52 "," 3,068.16 "," 1,980.90 "," 1,470.81 "," 2,369.57 "," 1,906.65 "," 1,421.50 "," 2,355.74 "," 1,896.55 "," 1,457.45 ",,
Region VII (Central Visayas),LTD Cebu," 3,725.76 "," 2,020.65 "," 2,128.19 "," 5,736.60 "," 3,709.82 "," 2,687.54 "," 4,366.42 "," 4,763.14 "," 2,555.06 "," 3,972.49 "," 4,202.00 "," 2,828.81 ",,
Region VIII (Eastern Visayas),Eastern Samar, 89.22 , 71.15 , 82.12 , 134.22 , 100.71 , 102.34 , 132.19 , 110.43 , 79.99 , 124.86 , 85.75 , 104.31 ,,
Region VIII (Eastern Visayas),Leyte, 353.64 , 157.15 , 172.48 , 398.71 , 328.32 , 240.78 , 352.31 , 321.43 , 232.49 , 323.26 , 252.84 , 296.13 ,,
Region VIII (Eastern Visayas),Northern Samar, 121.69 , 69.86 , 66.06 , 118.91 , 121.51 , 99.08 , 151.73 , 99.02 , 135.38 , 132.84 , 119.02 , 169.42 ,,
Region VIII (Eastern Visayas),Samar, 153.21 , 93.54 , 81.64 , 189.01 , 126.87 , 136.11 , 188.56 , 133.97 , 146.33 , 170.60 , 130.48 , 199.22 ,,
Region VIII (Eastern Visayas),Southern Leyte, 107.05 , 66.64 , 58.76 , 133.91 , 82.72 , 86.09 , 112.03 , 84.89 , 90.22 , 109.95 , 86.11 , 79.81 ,,
Region VIII (Eastern Visayas),City of Tacloban (includes the province of Biliran), 605.75 , 308.98 , 407.98 , 658.94 , 567.93 , 627.59 , 697.95 , 524.73 , 574.53 , 730.89 , 544.49 , 635.18 ,,
Region IX (Zamboanga Peninsula),Zamboanga del Norte, 288.04 , 134.51 , 139.32 , 317.02 , 182.22 , 164.04 , 260.81 , 186.60 , 164.04 , 298.91 , 201.70 , 294.16 ,,
Region IX (Zamboanga Peninsula),Zamboanga del Sur, 202.56 , 108.20 , 131.23 , 233.61 , 146.67 , 160.47 , 204.45 , 169.36 , 174.81 , 244.79 , 175.68 , 223.00 ,,
Region IX (Zamboanga Peninsula),Zamboanga Sibugay, 93.74 , 40.84 , 52.58 , 77.00 , 70.67 , 113.19 , 47.66 , 70.39 , 83.43 , 100.32 , 84.22 , 125.54 ,,
Region IX (Zamboanga Peninsula),City of Zamboanga, 499.39 , 195.90 , 231.44 , 418.26 , 315.73 , 328.83 , 428.98 , 372.57 , 321.02 , 495.02 , 314.45 , 349.37 ,,
Region X (Northern Mindanao),Bukidnon, 385.84 , 185.22 , 225.41 , 419.80 , 270.42 , 303.60 , 360.05 , 271.13 , 278.21 , 369.41 , 368.46 , 320.58 ,,
Region X (Northern Mindanao),Lanao del Norte (includes City of Iligan), 245.99 , 116.78 , 170.56 , 263.68 , 163.50 , 167.66 , 246.00 , 177.04 , 126.22 , 248.81 , 212.77 , 205.62 ,,
Region X (Northern Mindanao),Misamis Occidental, 214.02 , 120.15 , 123.01 , 226.27 , 167.62 , 155.95 , 223.03 , 162.24 , 172.99 , 211.53 , 189.54 , 190.46 ,,
Region X (Northern Mindanao),Misamis Oriental (includes the province of Camiguin), 106.11 , 57.11 , 74.20 , 128.59 , 119.35 , 111.29 , 124.09 , 112.69 , 135.18 , 124.85 , 105.59 , 128.10 ,,
Region X (Northern Mindanao),City of Cagayan de Oro, 937.01 , 422.55 , 684.18 ," 1,044.43 ", 590.36 , 815.78 ," 1,004.63 ", 764.91 , 679.49 ," 1,614.64 ", 779.23 , 705.80 ,,
Region XI (Davao Region),Davao del Norte and Davao de Oro , 471.48 , 246.86 , 273.18 , 546.13 , 454.32 , 414.49 , 510.00 , 480.10 , 417.59 , 547.05 , 464.05 , 379.11 ,,
Region XI (Davao Region),Davao del Sur and Davao Occidental, 448.64 , 250.32 , 144.41 , 249.10 , 139.00 , 161.92 , 205.05 , 197.63 , 182.80 , 268.33 , 223.34 , 165.21 ,,
Region XI (Davao Region),Davao Oriental, 114.95 , 50.21 , 64.75 , 107.62 , 158.11 , 125.70 , 157.98 , 109.28 , 112.43 , 206.37 , 112.39 , 121.67 ,,
Region XI (Davao Region),City of Davao," 1,589.05 ", 781.07 , 847.48 ," 1,933.03 "," 1,124.01 "," 1,116.67 "," 1,693.84 "," 1,183.49 ", 996.43 ," 1,921.07 "," 1,466.09 "," 1,043.07 ",,
Region XI (Davao Region),LTD Davao," 2,997.58 "," 1,375.27 "," 1,407.35 "," 3,469.59 "," 2,238.83 "," 1,502.85 "," 3,114.26 "," 2,498.05 "," 1,509.16 "," 3,050.07 "," 2,956.09 "," 1,616.73 ",,
Region XII (SOCCSKSARGEN),Cotabato, 248.74 , 121.28 , 153.53 , 263.35 , 175.66 , 186.81 , 263.25 , 209.17 , 197.55 , 275.57 , 197.66 , 258.55 ,,
Region XII (SOCCSKSARGEN),City of General Santos (includes the province of Sarangani), 919.91 , 313.68 , 270.10 , 552.82 , 359.46 , 391.21 , 641.63 , 399.37 , 302.46 , 588.43 , 411.08 , 369.50 ,,
Region XII (SOCCSKSARGEN),South Cotabato, 337.20 , 156.05 , 207.56 , 325.09 , 261.15 , 264.30 , 340.43 , 328.85 , 325.50 , 359.36 , 350.46 , 481.60 ,,
Region XII (SOCCSKSARGEN),Sultan Kudarat, 138.08 , 93.37 , 102.97 , 195.17 , 107.76 , 147.02 , 177.14 , 115.02 , 106.39 , 216.61 , 178.96 , 188.71 ,,
Region XIII (Caraga),Agusan del Norte (includes City of Butuan), 447.16 , 211.41 , 268.86 , 446.13 , 425.10 , 382.73 , 432.40 , 380.37 , 367.02 , 539.99 , 517.54 , 491.70 ,,
Region XIII (Caraga),Agusan del Sur, 152.51 , 109.25 , 106.61 , 153.33 , 129.87 , 129.54 , 159.74 , 140.40 , 149.56 , 183.50 , 154.13 , 127.23 ,,
Region XIII (Caraga),Surigao del Norte and Dinagat Islands, 250.13 , 123.60 , 138.44 , 287.59 , 171.64 , 190.03 , 239.20 , 218.77 , 192.83 , 275.33 , 196.47 , 244.40 ,,
Region XIII (Caraga),Surigao del Sur, 186.54 , 86.31 , 95.69 , 173.39 , 128.42 , 170.22 , 210.23 , 147.15 , 181.15 , 205.87 , 170.56 , 130.02 ,,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan (includes City of Isabela), 56.35 , 24.75 , 25.90 , 35.50 , 25.53 , 34.15 , 39.28 , 30.73 , 43.38 , 55.14 , 38.40 , 51.93 ,,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur, 95.15 , 69.81 , 65.75 , 109.10 , 69.22 , 77.71 , 84.68 , 74.40 , 71.89 , 90.05 , 96.77 , 86.33 ,,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Maguindanao del Norte and Maguindanao del Sur, 325.61 , 209.32 , 224.65 , 233.92 , 259.82 , 234.39 , 297.06 , 195.45 , 255.10 , 335.19 , 352.94 , 418.53 ,,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Sulu, 24.32 , 17.15 , 16.51 , 39.96 , 30.86 , 23.72 , 30.34 , 41.92 , 30.42 , 44.73 , 32.43 , 42.01 ,,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Tawi-tawi, 20.31 , 15.70 , 19.43 , 27.36 , 28.80 , 15.44 , 32.39 , 30.34 , 22.92 , 27.68 , 16.98 , 33.28 ,,
